% R/bohr 1Sig  1Pi  1Del  3Sig  3Pi  Axy   Azy  Bss  Byx  Bxs  Bsy  Bxd
   2.60  1.17573004E+04  5.96822326E+04  4.98884873E+04  1.13991692E+05  6.54800462E+04  1.59364117E+02 -4.96581272E+01  1.38507137E+01  1.57046276E+02 -5.19918312E+01 -5.61802416E+01 -5.45253350E+01
   2.85  1.71227840E+03  4.01059042E+04  4.07590469E+04  8.51303978E+04  4.50298522E+04  1.19379722E+02 -2.35396287E+01  1.52342411E+01  1.16693731E+02 -2.27530384E+01 -3.08824214E+01 -3.04295536E+01
   3.10 -2.19255782E+03  2.61229903E+04  3.20429447E+04  5.98131984E+04  2.98972588E+04  9.91137724E+01  1.85357235E+00  1.99469931E+01  9.54486114E+01  3.53355839E+00 -5.39399916E+00 -4.81045824E+00
   3.35 -3.12683232E+03  1.66276891E+04  2.42394038E+04  4.01717691E+04  1.92622621E+04  8.91347435E+01  2.03791308E+01  2.77527473E+01  8.46085694E+01  2.17311621E+01  1.36089405E+01  1.46033991E+01
   3.60 -2.75230288E+03  1.04454089E+04  1.76438284E+04  2.62185191E+04  1.21176941E+04  8.37805329E+01  3.27668496E+01  3.78803221E+01  7.86649536E+01  3.21377737E+01  2.66140142E+01  2.76948682E+01
   3.85 -2.00142988E+03  6.48805980E+03  1.23563935E+04  1.67813759E+04  7.45144645E+03  8.07753152E+01  4.07684727E+01  4.87228957E+01  7.52903101E+01  3.63684770E+01  3.52032290E+01  3.61231767E+01
   4.10 -1.33200604E+03  3.96936115E+03  8.28676490E+03  1.05763194E+04  4.46763924E+03  7.90503589E+01  4.58326443E+01  5.84313049E+01  7.33455718E+01  3.67043948E+01  4.07317016E+01  4.14173589E+01
   4.35 -8.77536723E+02  2.37552747E+03  5.41833881E+03  6.57003550E+03  2.59693876E+03  7.80578743E+01  4.90088026E+01  6.59827270E+01  7.22264048E+01  3.53286364E+01  4.42345096E+01  4.47090915E+01
   4.60 -6.07733720E+02  1.37730692E+03  3.36590424E+03  4.01841378E+03  1.44797989E+03  7.74901356E+01  5.09924955E+01  7.13530637E+01  7.15876105E+01  3.36114293E+01  4.64318476E+01  4.67469106E+01
   4.85 -4.52041161E+02  7.61746522E+02  2.02032394E+03  2.41234507E+03  7.58280522E+02  7.71692239E+01  5.22298519E+01  7.49889744E+01  7.12279473E+01  3.21325476E+01  4.78028460E+01  4.80071384E+01
   5.10 -3.55673220E+02  3.90258283E+02  1.17176986E+03  1.41364375E+03  3.55708595E+02  7.69902288E+01  5.30024940E+01  7.73874317E+01  7.10284955E+01  3.10305470E+01  4.86568791E+01  4.87876267E+01
   5.35 -2.88100147E+02  1.72259188E+02  6.50133671E+02  8.00502539E+02  1.28943341E+02  7.68924348E+01  5.34849417E+01  7.89468959E+01  7.09204415E+01  3.02655955E+01  4.91880656E+01  4.92711344E+01
   5.60 -2.35495498E+02  4.92661691E+01  3.36925292E+02  4.29924330E+02  7.63400369E+00  7.68399689E+01  5.37876740E+01  7.99545410E+01  7.08631477E+01  2.97537606E+01  4.95197982E+01  4.95722974E+01
