 R/bohr 1Sig  3Pi  Coupling
   2.60  2.64565611E+04  8.17675345E+04  1.60656139E+00
   2.85  5.12297638E+03  5.37156902E+04  7.38186350E+00
   3.10 -3.90021393E+03  3.55991545E+04  2.39838602E+01
   3.35 -6.87760578E+03  2.33027431E+04  5.51006280E+01
   3.60 -6.94760518E+03  1.50293754E+04  8.95114109E+01
   3.85 -5.76249671E+03  9.54944340E+03  1.02821668E+02
   4.10 -4.25972503E+03  5.95719422E+03  8.35170759E+01
   4.35 -2.93057250E+03  3.62631617E+03  4.79678557E+01
   4.60 -1.94870672E+03  2.13473734E+03  1.94809315E+01
   4.85 -1.29723719E+03  1.19749779E+03  5.59440009E+00
   5.10 -8.86987182E+02  6.22179153E+02  1.13600885E+00
   5.35 -6.29675398E+02  2.79143527E+02  1.63115150E-01
   5.60 -4.63191355E+02  8.25398163E+01  1.65611798E-02
   5.85 -3.50198837E+02 -2.37949596E+01  1.18897476E-03
   6.10 -2.69824193E+02 -7.59348501E+01  6.03584933E-05
   6.35 -2.10521452E+02 -9.66284196E+01  2.16664886E-06
   6.60 -1.65665024E+02 -9.99145194E+01  0.00000000E+00
   6.85 -1.31195479E+02 -9.42521941E+01  0.00000000E+00
   7.10 -1.04447257E+02 -8.45853460E+01  0.00000000E+00
   7.35 -8.35613547E+01 -7.36911037E+01  0.00000000E+00
   7.60 -6.71845648E+01 -6.30376853E+01  0.00000000E+00
   7.85 -5.43045782E+01 -5.33255137E+01  0.00000000E+00
   8.10 -4.41450177E+01 -4.48195464E+01  0.00000000E+00
   8.35 -3.61019634E+01 -3.75491910E+01  0.00000000E+00
   8.60 -2.97081989E+01 -3.14301763E+01  0.00000000E+00
   8.85 -2.45958427E+01 -2.63279531E+01  0.00000000E+00
   9.10 -2.04827740E+01 -2.20963200E+01  0.00000000E+00
   9.35 -1.71498893E+01 -1.85955657E+01  0.00000000E+00
   9.60 -1.44297625E+01 -1.57008363E+01  0.00000000E+00
   9.85 -1.21960763E+01 -1.33048087E+01  0.00000000E+00
  10.10 -1.03515808E+01 -1.13174588E+01  0.00000000E+00
  10.35 -8.82271755E+00 -9.66444925E+00  0.00000000E+00
  10.60 -7.55118957E+00 -8.28498686E+00  0.00000000E+00
  10.85 -6.48946947E+00 -7.12961804E+00  0.00000000E+00
  11.10 -5.60086222E+00 -6.15828257E+00  0.00000000E+00
  11.35 -4.85381603E+00 -5.33853313E+00  0.00000000E+00
  11.60 -4.22158461E+00 -4.64380004E+00  0.00000000E+00
  11.85 -3.68575177E+00 -4.05309958E+00  0.00000000E+00
  12.10 -3.22917035E+00 -3.54913125E+00  0.00000000E+00
  12.35 -2.83785012E+00 -3.11709105E+00  0.00000000E+00
  12.60 -2.50105071E+00 -2.74572429E+00  0.00000000E+00
  12.85 -2.21002240E+00 -2.42534983E+00  0.00000000E+00
  13.10 -1.95833774E+00 -2.14805233E+00  0.00000000E+00
  13.35 -1.74012866E+00 -1.90718585E+00  0.00000000E+00
  13.60 -1.55007488E+00 -1.69761350E+00  0.00000000E+00
  13.85 -1.38374421E+00 -1.51471797E+00  0.00000000E+00
  14.10 -1.23782511E+00 -1.35444595E+00  0.00000000E+00
  14.35 -1.10957078E+00 -1.21352486E+00  0.00000000E+00
  14.60 -9.96871820E-01 -1.08964899E+00  0.00000000E+00
  14.85 -8.97661465E-01 -9.80577289E-01  0.00000000E+00
  15.10 -8.09883851E-01 -8.84080267E-01  0.00000000E+00
  15.35 -7.31907636E-01 -7.98378842E-01  0.00000000E+00
  15.60 -6.62652942E-01 -7.22279018E-01  0.00000000E+00
  15.85 -6.01076747E-01 -6.54625899E-01  0.00000000E+00
  16.10 -5.46140460E-01 -5.94269960E-01  0.00000000E+00
  16.35 -4.96977757E-01 -5.40270352E-01  0.00000000E+00
  16.60 -4.52946098E-01 -4.91957313E-01  0.00000000E+00
  16.85 -4.13417898E-01 -4.48679196E-01  0.00000000E+00
  17.10 -3.77769152E-01 -4.09787314E-01  0.00000000E+00
  17.35 -3.45515075E-01 -3.74748027E-01  0.00000000E+00
  17.60 -3.16351728E-01 -3.43177143E-01  0.00000000E+00
  17.85 -2.89987257E-01 -3.14700459E-01  0.00000000E+00
  18.10 -2.66130586E-01 -2.88945400E-01  0.00000000E+00
  18.35 -2.44520779E-01 -2.65602656E-01  0.00000000E+00
  18.60 -2.24936054E-01 -2.44445101E-01  0.00000000E+00
  18.85 -2.07157244E-01 -2.25251100E-01  0.00000000E+00
  19.10 -1.90966315E-01 -2.07799840E-01  0.00000000E+00
  19.35 -1.76189161E-01 -1.91902382E-01  0.00000000E+00
  19.60 -1.62708745E-01 -1.77411195E-01  0.00000000E+00
  19.85 -1.50411843E-01 -1.64181513E-01  0.00000000E+00
  20.10 -1.37156730E-01 -1.51601524E-01  0.00000000E+00
  20.35 -1.26543295E-01 -1.40406976E-01  0.00000000E+00
  20.60 -1.16761209E-01 -1.30126652E-01  0.00000000E+00
  20.85 -1.07723334E-01 -1.20686328E-01  0.00000000E+00
  21.10 -9.93424085E-02 -1.12011227E-01  0.00000000E+00
  21.35 -9.15323319E-02 -1.04026039E-01  0.00000000E+00
  21.60 -8.42103190E-02 -9.66550218E-02  0.00000000E+00
  21.85 -7.73002584E-02 -8.98222748E-02  0.00000000E+00
  22.10 -7.07379565E-02 -8.34526807E-02  0.00000000E+00
  22.35 -6.44928558E-02 -7.74885392E-02  0.00000000E+00
  22.60 -5.85723861E-02 -7.18942451E-02  0.00000000E+00
  22.85 -5.30003659E-02 -6.66365100E-02  0.00000000E+00
  23.10 -4.78153011E-02 -6.16838026E-02  0.00000000E+00
  23.35 -4.30666084E-02 -5.70075262E-02  0.00000000E+00
  23.60 -3.88059745E-02 -5.25834412E-02  0.00000000E+00
  23.85 -3.50741109E-02 -4.83931701E-02  0.00000000E+00
  24.10 -3.18857932E-02 -4.44256210E-02  0.00000000E+00
  24.35 -2.92199497E-02 -4.06825150E-02  0.00000000E+00
  24.60 -2.70155129E-02 -3.71770537E-02  0.00000000E+00
  24.85 -2.51806489E-02 -3.39237755E-02  0.00000000E+00
  25.10 -2.36153934E-02 -3.09349440E-02  0.00000000E+00
  25.35 -2.22330034E-02 -2.82175327E-02  0.00000000E+00
  25.60 -2.09718068E-02 -2.57710882E-02  0.00000000E+00
  25.85 -1.97958606E-02 -2.35870155E-02  0.00000000E+00
  26.10 -1.86883606E-02 -2.16493385E-02  0.00000000E+00
  26.35 -1.76432861E-02 -1.99358997E-02  0.00000000E+00
  26.60 -1.66589701E-02 -1.84212421E-02  0.00000000E+00
  26.85 -1.57344293E-02 -1.70800156E-02  0.00000000E+00
  27.10 -1.48679436E-02 -1.58884207E-02  0.00000000E+00
  27.35 -1.40568915E-02 -1.48250346E-02  0.00000000E+00
  27.60 -1.32980362E-02 -1.38711705E-02  0.00000000E+00
  27.85 -1.25878697E-02 -1.30108920E-02  0.00000000E+00
  28.10 -1.19228738E-02 -1.22308423E-02  0.00000000E+00
  28.35 -1.12996798E-02 -1.15207562E-02  0.00000000E+00
  28.60 -1.07151461E-02 -1.08724035E-02  0.00000000E+00
  28.85 -1.01663863E-02 -1.02780575E-02  0.00000000E+00
  29.10 -9.65076630E-03 -9.73077021E-03  0.00000000E+00
  29.35 -9.16588862E-03 -9.22451908E-03  0.00000000E+00
  29.60 -8.70957089E-03 -8.75420739E-03  0.00000000E+00
  29.85 -8.27982333E-03 -8.31558558E-03  0.00000000E+00
  30.10 -7.87482769E-03 -7.90513845E-03  0.00000000E+00
  30.35 -7.49291829E-03 -7.51996468E-03  0.00000000E+00
  30.60 -7.13256547E-03 -7.15766305E-03  0.00000000E+00
  30.85 -6.79236117E-03 -6.81623235E-03  0.00000000E+00
  31.10 -6.47100656E-03 -6.49398729E-03  0.00000000E+00
  31.35 -6.16730124E-03 -6.18949007E-03  0.00000000E+00
  31.60 -5.88013392E-03 -5.90149620E-03  0.00000000E+00
  31.85 -5.60847429E-03 -5.62891233E-03  0.00000000E+00
  32.10 -5.35136583E-03 -5.37076403E-03  0.00000000E+00
  32.35 -5.10791953E-03 -5.12617149E-03  0.00000000E+00
  32.60 -4.87730818E-03 -4.89433134E-03  0.00000000E+00
  32.85 -4.65876142E-03 -4.67450328E-03  0.00000000E+00
  33.10 -4.45156120E-03 -4.46600009E-03  0.00000000E+00
  33.35 -4.25503767E-03 -4.26818042E-03  0.00000000E+00
  33.60 -4.06856554E-03 -4.08044329E-03  0.00000000E+00
  33.85 -3.89156068E-03 -3.90222412E-03  0.00000000E+00
  34.10 -3.72347709E-03 -3.73299153E-03  0.00000000E+00
  34.35 -3.56380410E-03 -3.57224497E-03  0.00000000E+00
  34.60 -3.41206379E-03 -3.41951264E-03  0.00000000E+00
  34.85 -3.26780868E-03 -3.27434983E-03  0.00000000E+00
  35.10 -3.13061955E-03 -3.13633739E-03  0.00000000E+00
  35.35 -3.00010344E-03 -3.00508038E-03  0.00000000E+00
  35.60 -2.87589187E-03 -2.88020674E-03  0.00000000E+00
  35.85 -2.75763909E-03 -2.76136613E-03  0.00000000E+00
  36.10 -2.64502058E-03 -2.64822873E-03  0.00000000E+00
  36.35 -2.53773157E-03 -2.54048411E-03  0.00000000E+00
  36.60 -2.43548572E-03 -2.43784017E-03  0.00000000E+00
  36.85 -2.33801391E-03 -2.34002206E-03  0.00000000E+00
  37.10 -2.24506305E-03 -2.24677123E-03  0.00000000E+00
  37.35 -2.15639506E-03 -2.15784438E-03  0.00000000E+00
  37.60 -2.07178588E-03 -2.07301261E-03  0.00000000E+00
  37.85 -1.99102455E-03 -1.99206052E-03  0.00000000E+00
  38.10 -1.91391236E-03 -1.91478535E-03  0.00000000E+00
  38.35 -1.84026209E-03 -1.84099624E-03  0.00000000E+00
  38.60 -1.76989724E-03 -1.77051342E-03  0.00000000E+00
  38.85 -1.70265137E-03 -1.70316760E-03  0.00000000E+00
  39.10 -1.63836749E-03 -1.63879921E-03  0.00000000E+00
  39.35 -1.57689741E-03 -1.57725786E-03  0.00000000E+00
  39.60 -1.51810126E-03 -1.51840173E-03  0.00000000E+00
  39.85 -1.46184693E-03 -1.46209701E-03  0.00000000E+00
  40.10 -1.40800960E-03 -1.40821744E-03  0.00000000E+00
  40.35 -1.35647132E-03 -1.35664381E-03  0.00000000E+00
  40.60 -1.30712057E-03 -1.30726353E-03  0.00000000E+00
  40.85 -1.25985187E-03 -1.25997020E-03  0.00000000E+00
  41.10 -1.21456543E-03 -1.21466327E-03  0.00000000E+00
  41.35 -1.17116683E-03 -1.17124762E-03  0.00000000E+00
  41.60 -1.12956665E-03 -1.12963329E-03  0.00000000E+00
  41.85 -1.08968023E-03 -1.08973513E-03  0.00000000E+00
  42.10 -1.05142735E-03 -1.05147254E-03  0.00000000E+00
  42.35 -1.01473200E-03 -1.01476916E-03  0.00000000E+00
  42.60 -9.79522127E-04 -9.79552647E-04  0.00000000E+00
  42.85 -9.45729395E-04 -9.45754441E-04  0.00000000E+00
  43.10 -9.13288995E-04 -9.13309530E-04  0.00000000E+00
  43.35 -8.82139429E-04 -8.82156252E-04  0.00000000E+00
  43.60 -8.52222330E-04 -8.52236099E-04  0.00000000E+00
  43.85 -8.23482281E-04 -8.23493542E-04  0.00000000E+00
  44.10 -7.95866653E-04 -7.95875855E-04  0.00000000E+00
  44.35 -7.69325451E-04 -7.69332965E-04  0.00000000E+00
  44.60 -7.43811164E-04 -7.43817295E-04  0.00000000E+00
  44.85 -7.19278635E-04 -7.19283634E-04  0.00000000E+00
  45.10 -6.95684927E-04 -6.95689000E-04  0.00000000E+00
  45.35 -6.72989203E-04 -6.72992519E-04  0.00000000E+00
  45.60 -6.51152615E-04 -6.51155313E-04  0.00000000E+00
  45.85 -6.30138195E-04 -6.30140390E-04  0.00000000E+00
  46.10 -6.09910756E-04 -6.09912540E-04  0.00000000E+00
  46.35 -5.90436795E-04 -5.90438243E-04  0.00000000E+00
  46.60 -5.71684404E-04 -5.71685580E-04  0.00000000E+00
  46.85 -5.53623190E-04 -5.53624144E-04  0.00000000E+00
  47.10 -5.36224190E-04 -5.36224964E-04  0.00000000E+00
  47.35 -5.19459801E-04 -5.19460428E-04  0.00000000E+00
  47.60 -5.03303706E-04 -5.03304214E-04  0.00000000E+00
  47.85 -4.87730811E-04 -4.87731222E-04  0.00000000E+00
  48.10 -4.72717180E-04 -4.72717513E-04  0.00000000E+00
  48.35 -4.58239977E-04 -4.58240246E-04  0.00000000E+00
  48.60 -4.44277408E-04 -4.44277625E-04  0.00000000E+00
  48.85 -4.30808672E-04 -4.30808847E-04  0.00000000E+00
  49.10 -4.17813908E-04 -4.17814049E-04  0.00000000E+00
  49.35 -4.05274149E-04 -4.05274264E-04  0.00000000E+00
  49.60 -3.93171280E-04 -3.93171372E-04  0.00000000E+00
  49.85 -3.81487989E-04 -3.81488064E-04  0.00000000E+00
  50.10 -3.70207736E-04 -3.70207796E-04  0.00000000E+00
  50.35 -3.59314709E-04 -3.59314757E-04  0.00000000E+00
  50.60 -3.48793790E-04 -3.48793829E-04  0.00000000E+00
  50.85 -3.38630523E-04 -3.38630554E-04  0.00000000E+00
  51.10 -3.28811080E-04 -3.28811106E-04  0.00000000E+00
  51.35 -3.19322233E-04 -3.19322253E-04  0.00000000E+00
  51.60 -3.10151321E-04 -3.10151337E-04  0.00000000E+00
  51.85 -3.01286228E-04 -3.01286241E-04  0.00000000E+00
  52.10 -2.92715355E-04 -2.92715366E-04  0.00000000E+00
  52.35 -2.84427595E-04 -2.84427603E-04  0.00000000E+00
  52.60 -2.76412310E-04 -2.76412317E-04  0.00000000E+00
